# t_epoch,vmrss_kb,vmsize_kb,vmswap_kb,mem_available_kb,threads
1786142626.462,2931032,8551780,0,22090680,71
1786142626.962,2931032,8551780,0,22094072,71
1786142627.463,2931032,8551780,0,22099720,71
1786142627.963,2931032,8551780,0,22098560,71
1786142628.464,2931032,8551780,0,22103864,71
1786142628.964,2931032,8551780,0,22106172,71
1786142629.464,2931032,8551780,0,22108252,71
1786142629.965,2931032,8551780,0,22089868,71
1786142630.465,2931032,8551780,0,22094152,71
1786142630.966,2931032,8551780,0,22096688,71
1786142631.466,2931032,8551780,0,22096688,71
1786142631.966,2931032,8551780,0,22101896,71
1786142632.467,2931032,8551780,0,22115848,71
1786142632.967,2931032,8551780,0,22119160,71
1786142633.468,2931032,8551780,0,22120716,71
1786142633.969,2931032,8551780,0,22125252,71
1786142634.469,2931032,8551780,0,22125252,71
1786142634.970,2931032,8551780,0,22103872,71
1786142635.470,2931032,8551780,0,22091056,71
1786142635.970,2931032,8551780,0,22088756,71
1786142636.471,2931032,8551780,0,22093068,71
1786142636.971,2931032,8551780,0,22094268,71
1786142637.472,2931032,8551780,0,22094016,71
1786142637.973,2931032,8551780,0,22097908,71
1786142638.473,2931032,8551780,0,22098624,71
1786142638.973,2931032,8551780,0,22103440,71
1786142639.474,2931032,8551780,0,22110748,71
1786142639.974,2931032,8551780,0,22102240,71
1786142640.475,2931032,8551780,0,22103880,71
1786142640.975,2931032,8551780,0,22108684,71
1786142641.475,2931032,8551780,0,22130096,71
1786142641.976,2931032,8551780,0,22131644,71
1786142642.476,2931032,8551780,0,22137856,71
1786142642.977,2931032,8551780,0,22140192,71
1786142643.477,2931032,8551780,0,22138128,71
1786142643.978,2931040,8551780,0,22138128,71
1786142644.478,2932880,8551780,0,22138128,71
1786142644.979,2935548,8551780,0,22129516,71
1786142645.479,2938288,8551780,0,22100412,71
1786142645.980,2976852,8551780,0,22055608,71
1786142646.480,2976852,8551780,0,22052404,71
1786142646.981,2976852,8551780,0,22056292,71
1786142647.481,2976852,8551780,0,22146472,71
1786142647.982,2976852,8551780,0,22150936,71
1786142648.482,2976852,8551780,0,22149132,71
1786142648.983,2976880,8551780,0,22151904,71
1786142649.484,2976880,8551780,0,22152308,71
1786142649.985,2976880,8551780,0,22151752,71
1786142650.486,2976880,8551780,0,22140388,71
1786142650.988,2976880,8551780,0,22140996,71
1786142651.489,2976880,8551780,0,22141804,71
1786142651.990,2976880,8551780,0,22155600,71
1786142652.491,2976880,8551780,0,22151932,71
1786142652.992,2976880,8551780,0,22150256,71
1786142653.493,2976880,8551780,0,22148712,71
1786142653.994,2976880,8551780,0,22172208,71
1786142654.495,2976880,8551780,0,22164688,71
1786142654.996,2976880,8551780,0,22159408,71
1786142655.497,2976880,8551780,0,22159180,71
1786142655.999,2976884,8551780,0,22176372,71
1786142656.500,2976884,8551780,0,22160608,71
1786142657.001,2976884,8551780,0,22164332,71
1786142657.502,2976892,8551780,0,22164044,71
1786142658.005,2976892,8551780,0,22173544,71
1786142658.506,2976892,8551780,0,22190656,71
1786142659.007,2976892,8551780,0,22172092,71
1786142659.508,2976896,8551780,0,22157892,71
1786142660.011,2976896,8551780,0,22157884,71
1786142660.511,2976896,8551780,0,22158928,71
1786142661.012,2976896,8551780,0,22155184,71
1786142661.513,2976896,8551780,0,22168048,71
